Tiempo (s),Setpoint (K),Sensor 1 (K),Sensor 2 (K),dT/dt 1 (K/min),dT/dt 2 (K/Min),Potencia (W),Voltaje A (V),Voltaje B (V),Corriente (A),Resistencia A (Ohm),Resistencia B (Ohm)
152.1513672,299.3832992,305.8530000,26.8450000,-1.4823295,-0.1789018,0.0000000,0.1001120,0.0000954,NaN,1049.1215054,NaN
153.3349609,299.3881942,305.8490000,26.6600000,1.5911779,-0.1796491,0.0000000,0.1001220,0.0000955,NaN,1048.0917093,NaN
154.5019531,299.3930404,305.8450000,26.6870000,-3.5028215,-0.2301124,0.0000000,0.1000920,0.0000955,NaN,1048.3241707,NaN
155.6650391,299.3979720,305.8410000,26.7860000,-4.0330370,-0.2042044,0.0000000,0.1001110,0.0000955,NaN,1048.2223537,NaN
156.8271484,299.4028345,305.8290000,26.8270000,3.2445264,-0.2060017,0.0000000,0.1000940,0.0000955,NaN,1047.9203658,NaN
158.0029297,299.4076807,305.8240000,26.7510000,3.6125997,-0.4128685,0.0000000,0.1001150,0.0000955,NaN,1048.7561897,NaN
159.1699219,299.4125228,305.8230000,26.7200000,-0.8982456,-0.4362907,0.0000000,0.1001130,0.0000955,NaN,1048.3508682,NaN
160.3632812,299.4174219,305.8110000,26.7720000,-2.7403418,-0.1536640,0.0000000,0.1001230,0.0000955,NaN,1048.3633687,NaN
161.5273437,299.4222843,305.8070000,27.0610000,0.5338188,-0.3304592,0.0000000,0.1001140,0.0000954,NaN,1049.6484536,NaN
162.6992187,299.4272567,305.8020000,26.8720000,8.6789727,-0.4072245,0.0000000,0.1001240,0.0000955,NaN,1048.3255417,NaN
163.8632812,299.4321069,305.7920000,26.8510000,2.5685619,-0.2311706,0.0000000,0.1001060,0.0000955,NaN,1048.1798782,NaN
165.0283203,299.4369897,305.7880000,26.6370000,-5.3939799,-0.3852843,0.0000000,0.1000930,0.0000954,NaN,1048.8003965,NaN
166.1953125,299.4418400,305.7820000,26.6900000,-6.0538365,-0.3606541,0.0000000,0.1001090,0.0000954,NaN,1048.8460587,NaN
167.3574219,299.4466943,305.7720000,26.6580000,-4.1423116,-0.2572864,0.0000000,0.1001010,0.0000955,NaN,1048.0309569,NaN
168.5195312,299.4515568,305.7650000,26.6050000,0.5409811,-0.4121761,0.0000000,0.1001120,0.0000955,NaN,1048.1132036,NaN
169.6904297,299.4563989,305.7620000,26.7080000,-2.1942857,-0.4388571,0.0000000,0.1001120,0.0000955,NaN,1048.2251414,NaN
170.8515625,299.4612410,305.7560000,26.8560000,1.2858937,-0.2571787,0.0000000,0.1001120,0.0000955,NaN,1048.4886188,NaN
172.0146484,299.4661198,305.7520000,26.8550000,6.4578894,-0.2315578,0.0000000,0.1001130,0.0000954,NaN,1049.2210467,NaN
173.1923828,299.4709578,305.7460000,26.8440000,3.7948235,-0.2581513,0.0000000,0.1000940,0.0000955,NaN,1048.2902210,NaN
174.3574219,299.4758040,305.7380000,26.8920000,-0.3075845,-0.2563204,0.0000000,0.1001050,0.0000954,NaN,1049.5871061,NaN
175.5205078,299.4807113,305.7330000,26.7860000,0.9475948,-0.3585494,0.0000000,0.1001160,0.0000955,NaN,1047.9093311,NaN
176.6904297,299.4855656,305.7280000,26.8400000,-1.4947651,-0.3350336,0.0000000,0.1000850,0.0000954,NaN,1048.7099772,NaN
177.8427734,299.4904118,305.7170000,26.8460000,-1.3373294,-0.2571787,0.0000000,0.1000690,0.0000954,NaN,1048.5280435,NaN
179.0068359,299.4952865,305.7090000,26.8140000,1.5502103,-0.4133894,0.0000000,0.1001140,0.0000956,NaN,1047.6438635,NaN
180.1738281,299.5000879,305.7040000,26.7990000,-0.6734570,-0.4921417,0.0000000,0.1001120,0.0000954,NaN,1049.1028155,NaN
181.3544922,299.5049382,305.6960000,26.7400000,-1.2097528,-0.3346125,0.0000000,0.1000880,0.0000954,NaN,1049.4253681,NaN
182.5292969,299.5098006,305.6860000,26.6770000,-1.8912479,-0.3322463,0.0000000,0.1001110,0.0000955,NaN,1048.4386160,NaN
183.6933594,299.5147201,305.6800000,26.6530000,-3.1076617,-0.4585075,0.0000000,0.1000880,0.0000954,NaN,1048.8754937,NaN
184.8593750,299.5196151,305.6690000,26.7330000,-2.2318497,-0.4104551,0.0000000,0.1000920,0.0000955,NaN,1048.2242646,NaN
186.0566406,299.5244653,305.6570000,26.6970000,1.4420117,-0.4377536,0.0000000,0.1000880,0.0000954,NaN,1048.9799255,NaN
187.2119141,299.5293237,305.6490000,26.7370000,1.1170909,-0.5839339,0.0000000,0.1001030,0.0000954,NaN,1048.9832189,NaN
188.3710937,299.5343123,305.6450000,26.6300000,0.1020174,-0.5100872,0.0000000,0.1001180,0.0000955,NaN,1048.1014036,NaN
189.5263672,299.5391260,305.6380000,26.5560000,-1.7369114,-0.3110886,0.0000000,0.1000900,0.0000954,NaN,1049.1493285,NaN
190.6835937,299.5439559,305.6290000,26.8590000,-4.6922532,-0.2851646,0.0000000,0.1001220,0.0000954,NaN,1049.5980744,NaN
191.8457031,299.5487695,305.6190000,26.8310000,5.9416216,-0.4151351,0.0000000,0.1000820,0.0000954,NaN,1049.4284777,NaN
193.0234375,299.5535913,305.6120000,26.9190000,7.1141053,-0.4915200,0.0000000,0.1000840,0.0000954,NaN,1048.9599906,NaN
194.1904297,299.5584334,305.6070000,26.9150000,1.5385643,-0.4359265,0.0000000,0.1001010,0.0000954,NaN,1048.7545509,NaN
195.3544922,299.5682479,305.5980000,26.9490000,2.1495044,-0.3070721,0.0000000,0.1001110,0.0000955,NaN,1047.9677835,NaN
196.5205078,299.5779728,305.5900000,26.8290000,0.7721827,-0.3603519,0.0000000,0.1000900,0.0000953,NaN,1049.8084773,NaN
197.7285156,299.5876733,305.5820000,26.7600000,-2.2145180,-0.4377536,0.0000000,0.1000730,0.0000954,NaN,1049.0041206,NaN
