Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.02,0.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
4.60294180e-02,0.0147812,0.00985938,0.00555938,0.00397812
4.60294184e-02,0.0143125,0.00996875,0.00595313,0.00366563
4.60294188e-02,0.0135312,0.0103594,0.00612187,0.00390625
4.60294192e-02,0.0132969,0.00953125,0.006325,0.00421563
4.60294196e-02,0.0132031,0.00945313,0.006375,0.00454375
4.60294200e-02,0.0129687,0.00928125,0.00656563,0.00500312
4.60294204e-02,0.0120469,0.0104687,0.0067625,0.00525312
4.60294208e-02,0.0135312,0.0100781,0.00667813,0.00553437
4.60294212e-02,0.0129844,0.0107969,0.00692813,0.00565937
4.60294216e-02,0.0137656,0.00864063,0.0064,0.0059875
4.60294220e-02,0.0134687,0.00901562,0.00629062,0.0061875
4.60294224e-02,0.0132344,0.0106094,0.00610313,0.00635
4.60294228e-02,0.0120312,0.0100781,0.00605,0.00656875
4.60294232e-02,0.0115,0.00951562,0.00578437,0.006625
4.60294236e-02,0.0120312,0.00996875,0.00577812,0.00651562
4.60294240e-02,0.0128281,0.0102969,0.00546875,0.0063375
4.60294244e-02,0.0131406,0.0101719,0.00504375,0.00593125
4.60294248e-02,0.0138281,0.0107344,0.00474375,0.00575
4.60294252e-02,0.0131094,0.011875,0.00482813,0.00524687
4.60294256e-02,0.0129844,0.0117969,0.00499062,0.0047875
4.60294260e-02,0.012875,0.0122188,0.0045625,0.00440312
4.60294264e-02,0.0122812,0.011375,0.00453125,0.00395625
4.60294268e-02,0.0120469,0.0103125,0.00475312,0.0036375
