Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Sample Interval,4e-05,,,Sample Interval,4e-05
Record Length,1000,,,Record Length,1000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,2,0.5,,Vertical Scale,1
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
8.040e-03,7.48,2.44,,8.040e-03,2.44
8.080e-03,7.56,2.4,,8.080e-03,2.4
8.120e-03,7.48,2.42,,8.120e-03,2.42
8.160e-03,7.48,2.42,,8.160e-03,2.42
8.200e-03,7.48,2.42,,8.200e-03,2.42
8.240e-03,7.4,2.42,,8.240e-03,2.42
8.280e-03,7.56,2.42,,8.280e-03,2.42
8.320e-03,7.48,2.4,,8.320e-03,2.4
8.360e-03,7.56,2.44,,8.360e-03,2.44
8.400e-03,7.56,2.42,,8.400e-03,2.42
8.440e-03,7.48,2.4,,8.440e-03,2.4
8.480e-03,7.48,2.42,,8.480e-03,2.42
8.520e-03,7.48,2.42,,8.520e-03,2.42
8.560e-03,7.56,2.42,,8.560e-03,2.42
8.600e-03,7.56,2.46,,8.600e-03,2.46
8.640e-03,7.56,2.42,,8.640e-03,2.42
8.680e-03,7.56,2.42,,8.680e-03,2.42
8.720e-03,7.48,2.4,,8.720e-03,2.4
8.760e-03,7.56,2.44,,8.760e-03,2.44
8.800e-03,7.56,2.42,,8.800e-03,2.42
8.840e-03,7.48,2.44,,8.840e-03,2.44
8.880e-03,7.48,2.42,,8.880e-03,2.42
8.920e-03,7.56,2.44,,8.920e-03,2.44
8.960e-03,7.56,2.46,,8.960e-03,2.46
9.000e-03,7.48,2.46,,9.000e-03,2.46
9.040e-03,7.48,2.42,,9.040e-03,2.42
9.080e-03,7.72,2.4,,9.080e-03,2.4
9.120e-03,7.48,2.42,,9.120e-03,2.42
9.160e-03,7.56,2.42,,9.160e-03,2.42
9.200e-03,7.4,2.42,,9.200e-03,2.42
9.240e-03,7.56,2.44,,9.240e-03,2.44
9.280e-03,7.56,2.46,,9.280e-03,2.46
9.320e-03,7.48,2.44,,9.320e-03,2.44
9.360e-03,7.56,2.44,,9.360e-03,2.44
9.400e-03,7.56,2.44,,9.400e-03,2.44
9.440e-03,7.56,2.44,,9.440e-03,2.44
9.480e-03,7.64,2.46,,9.480e-03,2.46
9.520e-03,7.48,2.46,,9.520e-03,2.46
9.560e-03,7.56,2.46,,9.560e-03,2.46
9.600e-03,7.56,2.48,,9.600e-03,2.48
9.640e-03,7.56,2.42,,9.640e-03,2.42
9.680e-03,7.32,2.44,,9.680e-03,2.44
9.720e-03,7.48,2.44,,9.720e-03,2.44
9.760e-03,7.56,2.46,,9.760e-03,2.46
9.800e-03,7.48,2.44,,9.800e-03,2.44
9.840e-03,7.48,2.42,,9.840e-03,2.42
9.880e-03,7.4,2.42,,9.880e-03,2.42
9.920e-03,7.64,2.44,,9.920e-03,2.44
9.960e-03,7.48,2.46,,9.960e-03,2.46
1.000e-02,7.32,2.48,,1.000e-02,2.48
1.004e-02,7.56,2.42,,1.004e-02,2.42
1.008e-02,7.48,2.44,,1.008e-02,2.44
1.012e-02,7.4,2.42,,1.012e-02,2.42
1.016e-02,7.48,2.42,,1.016e-02,2.42
1.020e-02,7.48,2.48,,1.020e-02,2.48
1.024e-02,7.48,2.44,,1.024e-02,2.44
1.028e-02,7.4,2.44,,1.028e-02,2.44
1.032e-02,7.56,2.46,,1.032e-02,2.46
1.036e-02,7.4,2.46,,1.036e-02,2.46
1.040e-02,7.48,2.46,,1.040e-02,2.46
1.044e-02,7.56,2.48,,1.044e-02,2.48
1.048e-02,7.4,2.5,,1.048e-02,2.5
1.052e-02,7.48,2.46,,1.052e-02,2.46
1.056e-02,7.56,2.44,,1.056e-02,2.44
1.060e-02,7.56,2.42,,1.060e-02,2.42
1.064e-02,7.56,2.44,,1.064e-02,2.44
1.068e-02,7.48,2.46,,1.068e-02,2.46
1.072e-02,7.32,2.48,,1.072e-02,2.48
1.076e-02,7.4,2.46,,1.076e-02,2.46
1.080e-02,7.56,2.44,,1.080e-02,2.44
1.084e-02,7.56,2.48,,1.084e-02,2.48
1.088e-02,7.48,2.44,,1.088e-02,2.44
1.092e-02,7.48,2.44,,1.092e-02,2.44
1.096e-02,7.4,2.46,,1.096e-02,2.46
1.100e-02,7.56,2.46,,1.100e-02,2.46
1.104e-02,7.48,2.46,,1.104e-02,2.46
1.108e-02,7.48,2.46,,1.108e-02,2.46
1.112e-02,7.48,2.46,,1.112e-02,2.46
1.116e-02,7.64,2.48,,1.116e-02,2.48
1.120e-02,7.48,2.46,,1.120e-02,2.46
1.124e-02,7.48,2.5,,1.124e-02,2.5
1.128e-02,7.4,2.46,,1.128e-02,2.46
1.132e-02,7.48,2.46,,1.132e-02,2.46
